Dataset,Noise Type,Noise Level Index,Accuracy Mean,Accuracy SE,Relabelling F1 Mean,Relabelling F1 SE,Relabelling Accuracy Mean,Relabelling Accuracy SE
0,0,0,0.850793651,0.024471955,0,0,0,0
0,0,1,0.84952381,0.019857062,0.484454466,0.034340755,0.738940131,0.030685186
0,0,2,0.824126984,0.024144178,0.645476901,0.02882169,0.712535473,0.033086008
0,0,3,0.785396825,0.024067941,0.69069713,0.029096255,0.653326565,0.032162514
0,0,4,0.714920635,0.03082011,0.707758399,0.019239235,0.586838889,0.029038095
0,0,5,0.525714286,0.03940572,0.700701802,0.02309256,0.485085591,0.039431939
0,0,6,0.299047619,0.038255809,0.649947522,0.017118773,0.295175969,0.032327283
0,0,7,0.184761905,0.029333948,0.64635961,0.016037674,0.220863662,0.02674565
0,0,8,0.137777778,0.020770509,0.668174913,0.012617828,0.169653874,0.02325596
0,0,9,0.076825397,0.014923615,0.706251271,0.010798469,0.160902256,0.019626482
0,1,0,0.982222222,0.003129464,0,0,0,0
0,1,1,0.972063492,0.00379393,0.738086709,0.019564596,0.909809607,0.015716279
0,1,2,0.940952381,0.004815755,0.887845468,0.009003396,0.936634554,0.010167233
0,1,3,0.885714286,0.008306948,0.90814344,0.006765822,0.917916374,0.008409046
0,1,4,0.756825397,0.013231571,0.908163639,0.015295607,0.873625538,0.024064027
0,1,5,0.542857143,0.023761545,0.801675323,0.032309184,0.652844131,0.054689122
0,1,6,0.304761905,0.018837937,0.63417726,0.023802649,0.299453184,0.043328421
0,1,7,0.117460317,0.012477062,0.558754007,0.011601555,0.085201657,0.018428325
0,1,8,0.027936508,0.004763772,0.591227444,0.007817579,0.047962238,0.012037233
0,1,9,0.003809524,0.001436331,0.638437735,0.006480242,0.022771214,0.004342647
0,2,0,0.953015873,0.007388353,0,0,0,0
0,2,1,0.940952381,0.006307989,0,0,0,0
0,2,2,0.946031746,0.005924147,0,0,0,0
0,2,3,0.942857143,0.007361021,0,0,0,0
0,2,4,0.906031746,0.020676106,0,0,0,0
0,2,5,0.675555556,0.046024211,0,0,0,0
0,2,6,0.319365079,0.040446576,0,0,0,0
0,2,7,0.086349206,0.016891332,0,0,0,0
0,2,8,0.033650794,0.009614261,0,0,0,0
0,2,9,0.016507937,0.004208771,0,0,0,0
1,0,0,0.850793651,0.024471955,0,0,0,0
1,0,1,0.798095238,0.024247084,0.413179217,0.039208356,0.629764401,0.03759424
1,0,2,0.699047619,0.037753525,0.502549437,0.045967836,0.585296465,0.043035059
1,0,3,0.651428571,0.038184458,0.551946905,0.039994865,0.559569538,0.036789934
1,0,4,0.471111111,0.034640417,0.441086138,0.031270486,0.41132733,0.03005549
1,0,5,0.284444444,0.024560458,0.359050792,0.026046618,0.287978261,0.02406696
1,0,6,0.248888889,0.028209346,0.380813184,0.024651867,0.27093596,0.023370782
1,0,7,0.194920635,0.022483722,0.376526227,0.024023745,0.214533505,0.022983985
1,0,8,0.20952381,0.023427372,0.419090229,0.028495896,0.254491793,0.023578329
1,0,9,0.217142857,0.024565285,0.462351808,0.023633192,0.253061224,0.023078852
1,1,0,0.982222222,0.003129464,0,0,0,0
1,1,1,0.968888889,0.004663153,0.770753187,0.017141131,0.928642392,0.012229596
1,1,2,0.908571429,0.009280426,0.860693899,0.012254385,0.907249293,0.011617325
1,1,3,0.780952381,0.015329635,0.894617665,0.01444166,0.904825881,0.014261968
1,1,4,0.572063492,0.020980091,0.773050661,0.042155101,0.748607297,0.042723211
1,1,5,0.343492063,0.019225438,0.26729949,0.043366666,0.232802106,0.042512796
1,1,6,0.168253968,0.01415125,0.218640139,0.025829949,0.151263607,0.021967647
1,1,7,0.046349206,0.006465783,0.160274724,0.019754414,0.091954787,0.014717012
1,1,8,0.019047619,0.003660321,0.248444588,0.036712899,0.128318623,0.020953545
1,1,9,0.010793651,0.002111416,0.192669632,0.040609221,0.079914071,0.019190512
1,2,0,0.953015873,0.007388353,0,0,0,0
1,2,1,0.942222222,0.005405058,0,0,0,0
1,2,2,0.947301587,0.005318819,0,0,0,0
1,2,3,0.920634921,0.011242388,0,0,0,0
1,2,4,0.763174603,0.039980728,0,0,0,0
1,2,5,0.252698413,0.043957045,0,0,0,0
1,2,6,0.139047619,0.018986519,0,0,0,0
1,2,7,0.077460317,0.014212281,0,0,0,0
1,2,8,0.100952381,0.020560521,0,0,0,0
1,2,9,0.054603175,0.016905365,0,0,0,0
2,0,0,0.850793651,0.024471955,0,0,0,0
2,0,1,0.826666667,0.023524847,0.483020473,0.039983058,0.698330812,0.037359046
2,0,2,0.734603175,0.03565745,0.544374395,0.041343602,0.608486684,0.04046637
2,0,3,0.608253968,0.036691537,0.515149942,0.039949052,0.502313119,0.033759751
2,0,4,0.351111111,0.030716451,0.387880766,0.028232766,0.328596113,0.026413981
2,0,5,0.260952381,0.020900822,0.37302756,0.025087095,0.28311495,0.019969811
2,0,6,0.22984127,0.026901284,0.354536599,0.025783364,0.241861773,0.022454537
2,0,7,0.205714286,0.025773123,0.364968572,0.029421,0.234286513,0.02385854
2,0,8,0.199365079,0.02554903,0.399624224,0.030937791,0.227250296,0.022928305
2,0,9,0.217142857,0.024565285,0.462351808,0.023633192,0.253061224,0.023078852
2,1,0,0.982222222,0.003129464,0,0,0,0
2,1,1,0.961269841,0.006399428,0.786713615,0.017789067,0.939598666,0.012333235
2,1,2,0.890793651,0.011171505,0.835091823,0.019302561,0.881359023,0.019041885
2,1,3,0.727619048,0.016658083,0.866646855,0.02542726,0.863164128,0.027127742
2,1,4,0.476825397,0.02308939,0.51484286,0.054767658,0.487254403,0.055284614
2,1,5,0.258412698,0.016948093,0.22024214,0.02875625,0.168669978,0.025042213
2,1,6,0.109206349,0.010481565,0.26854002,0.032880859,0.164302299,0.020071218
2,1,7,0.039365079,0.005767981,0.181315414,0.034020095,0.092164556,0.020040879
2,1,8,0.015873016,0.00250679,0.172988555,0.021493231,0.072429454,0.013359726
2,1,9,0.010793651,0.002111416,0.192669632,0.040609221,0.079914071,0.019190512
2,2,0,0.953015873,0.007388353,0,0,0,0
2,2,1,0.938412698,0.006574887,0,0,0,0
2,2,2,0.932063492,0.010622022,0,0,0,0
2,2,3,0.893333333,0.023822841,0,0,0,0
2,2,4,0.526984127,0.054892941,0,0,0,0
2,2,5,0.191746032,0.026073161,0,0,0,0
2,2,6,0.127619048,0.018341729,0,0,0,0
2,2,7,0.081269841,0.018036006,0,0,0,0
2,2,8,0.063492063,0.011528765,0,0,0,0
2,2,9,0.054603175,0.016905365,0,0,0,0
3,0,0,0.850793651,0.024471955,0,0,0,0
3,0,1,0.846349206,0.020276569,0.463323337,0.034959002,0.702318574,0.033477255
3,0,2,0.789206349,0.027683259,0.550417134,0.03511062,0.637632224,0.037601534
3,0,3,0.738412698,0.033560826,0.632524146,0.035993019,0.631900956,0.038003145
3,0,4,0.51047619,0.032726955,0.513304148,0.026444123,0.465394011,0.027938194
3,0,5,0.278730159,0.033981777,0.400886965,0.030597363,0.278874267,0.02878429
3,0,6,0.201904762,0.026566438,0.34863153,0.029557378,0.204066163,0.024581332
3,0,7,0.111746032,0.020258434,0.284997744,0.027152272,0.130109231,0.019354775
3,0,8,0.13968254,0.020362345,0.3731349,0.031559654,0.17634573,0.02047345
3,0,9,0.112380952,0.020693302,0.420196027,0.031688846,0.179678209,0.02536152
3,1,0,0.982222222,0.003129464,0,0,0,0
3,1,1,0.97015873,0.00498512,0.750632207,0.018208042,0.907244876,0.013145992
3,1,2,0.913650794,0.008338289,0.854762989,0.011847368,0.899963263,0.01095597
3,1,3,0.799365079,0.01495536,0.887972298,0.013981373,0.902108665,0.013987864
3,1,4,0.59047619,0.020498725,0.776057132,0.045642044,0.751559078,0.045377798
3,1,5,0.378412698,0.021759624,0.196552953,0.039909877,0.163498418,0.037562116
3,1,6,0.194920635,0.016800538,0.12729677,0.016580667,0.077662001,0.01505665
3,1,7,0.08,0.015863302,0.129351876,0.011695413,0.065231218,0.009268701
3,1,8,0.044444444,0.01307563,0.177334239,0.023405029,0.083369358,0.01592788
